id	user	nice	system	idle	cpu_jiffy_user	cpu_jiffy_kernel	cpu_jiffy_user_childs	cpu_jiffy_kernel_childs	iowait	irq	softirq	tot_intrpt	cntx	tot_process	minor_fault	minor_fault_childs	major_fault	major_fault_childs	no_threads	virtual_mem_size	resident_mem_size	total_cpu	duration	R*duration	G*duration	B*duration	lseek	rt_sigtimedwait	uname	kill	epoll_create	umask	send	writev	fchmod	getpid	epoll_wait	read	getgid32	cacheflush	gettid	fsync	geteuid32	recvfrom	sched_get_priority_max	sendto	clock_gettime	inotify_init	connect	getsockname	close	flock	getegid32	rt_sigprocmask	inotify_add_watch	access	sigaltstack	munmap	socketpair	setpgid	getcwd	symlink	getpeername	sigaction	setsockopt	socket	sendmsg	epoll_ctl	chmod	brk	poll	open	select	unlink	sigprocmask	getsockopt	getpriority	recv	nanosleep	mkdir	set_tls	rmdir	dup	mprotect	listen	fork	fchown32	getuid32	sched_yield	statfs64	gettimeofday	mremap	fcntl64	execve	msync	wait4	chdir	madvise	getrusage	sched_setscheduler	ftruncate	rename	getdents64	accept	readv	prctl	pipe	sched_getparam	rt_sigreturn	write	setpriority	recvmsg	getrlimit	stat	restart_syscall	clone	sched_getscheduler	ioctl	readlink	clock_nanosleep	bind	futex	mmap2	utimes	energy	
1	2492.08333333	0.666666666667	2545.75	21267.8333333	1097.5	401.25	31.5	5.75	150.083333333	6.25	0.833333333333	206528.916667	384971.0	254.583333333	33463.4166667	5987.0	0.916666666667	0.0	20.5	518088362.667	13704.0	1536.0	117	7956	8424	5265	24.4	0.2	0.0	0.0	0.0	0.0	0.0	19.4	0.0	1.4	0.0	1093.8	0.0	1.0	1.4	0.2	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	13.8	0.2	0.0	0.0	0.0	2.6	0.0	16.4	0.0	0.2	0.0	0.0	0.0	1.4	0.0	0.0	0.0	0.0	0.0	2.6	0.0	15.4	0.0	0.0	0.8	0.0	0.2	0.0	0.0	0.0	0.4	0.0	0.0	1074.0	0.0	0.2	0.0	0.4	0.0	0.0	1.6	0.0	6.4	0.2	0.2	0.2	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4	0.0	0.0	0.0	57.2	0.2	0.0	0.0	13.2	0.6	0.2	0.0	9.8	0.0	0.0	0.0	4.0	36.6	0.0	135.358483949	
2	12603.1666667	0.75	4765.08333333	31941.8333333	9353.16666667	1729.58333333	0.0	0.0	51.1666666667	4.58333333333	0.916666666667	566012.5	1329856.33333	359.416666667	55045.6666667	0.0	3.83333333333	0.0	21.1666666667	582785024.0	30061.8333333	11082.75	232	11136	10440	9744	990.4	0.0	0.0	0.0	3.0	0.0	0.0	111.0	4.6	92719.6	44025.8	53420.4	2.0	14218.4	66177.2	9.0	2.0	26542.8	0.0	135.0	234288.0	0.0	5.0	7.0	209.0	0.0	2.0	0.0	0.0	25.2	0.0	1973.2	0.0	0.0	0.0	0.0	0.0	11.0	13.0	8.0	0.0	6.0	10.6	0.0	3.0	183.2	0.0	9.6	1081.8	5.0	54.6	0.0	33439.0	3.0	28.4	0.0	11.0	4380.4	0.0	0.0	0.0	26554.2	5.8	0.0	669081.2	100.0	35.0	0.0	0.0	0.0	0.0	599.2	0.0	0.0	0.0	6.0	2.0	0.0	0.0	23.8	3.0	0.0	0.0	4573.6	19.8	0.0	1.0	263.0	1.0	28.4	0.0	139164.6	0.0	0.0	4.0	100975.0	3455.8	0.0	419.473127537	
3	4765.0	0.916666666667	2045.83333333	26151.6666667	3641.25	266.083333333	0.0	0.0	62.9166666667	6.5	0.0	143897.583333	366107.666667	188.416666667	30836.3333333	0.0	0.166666666667	0.0	12.1666666667	495320405.333	14650.5833333	3907.33333333	150	4050	4200	3900	266.0	0.0	0.0	0.0	0.0	26.0	0.0	70.6	2.0	179.0	230.6	507.0	0.0	8824.4	76.4	15.0	0.0	107.0	0.0	102.0	24559.6	0.0	0.0	0.0	69.0	0.0	0.0	0.0	0.0	16.0	0.0	405.2	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	4.0	3.0	0.0	0.0	60.8	0.0	1.0	4306.0	0.0	45.0	0.0	37.2	1.0	8.4	0.0	9.0	19975.0	0.0	0.0	13.0	123.0	0.4	1.0	21952.0	1.2	117.0	0.0	0.0	0.0	0.0	146.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.4	0.0	0.0	0.0	165.6	5.4	0.0	0.0	235.6	1.0	8.4	0.0	41662.4	0.0	0.0	0.0	27606.4	716.2	0.0	177.279797127	
4	7126.08333333	9.33333333333	2709.25	28305.3333333	5575.25	583.75	0.0	0.0	78.3333333333	7.75	2.75	270888.333333	567044.083333	371.916666667	42697.0833333	0.0	21.0833333333	0.0	22.6666666667	582168917.333	26650.25	6159.0	176	20240	17776	13376	54.0	0.0	1.0	0.0	2.8	27.2	0.0	455.2	1.8	9099.2	14930.8	8029.4	3.2	17999.2	157.8	43.0	3.2	7516.0	0.0	126.8	107093.2	0.0	28.0	50.2	171.6	0.0	3.2	0.0	0.0	119.0	0.0	2510.6	1.6	0.0	0.0	0.0	0.0	0.0	36.2	34.8	0.0	41.8	5.4	0.0	0.0	132.6	3.0	7.8	2194.8	604.2	66.2	0.0	1232.6	14.8	43.2	0.0	18.0	6796.4	0.0	0.0	13.6	9004.6	13.8	0.6	21664.8	2.6	244.8	0.0	0.0	0.0	0.0	94.4	0.0	0.0	4.0	0.0	2.0	0.0	0.0	35.4	3.8	0.0	0.0	13228.2	38.6	0.0	0.0	267.6	0.8	43.2	0.0	83510.2	0.0	6.0	22.6	29236.6	3173.8	0.0	247.960224117	
5	1420.0	0.75	677.5	27743.9166667	913.666666667	213.583333333	0.0	0.0	743.75	0.166666666667	2.0	55261.1666667	88040.1666667	213.166666667	27364.4166667	0.0	4.41666666667	0.0	17.5	509453653.333	15362.1666667	1127.25	137	23564	22605	21098	153.4	0.0	0.0	0.0	1.8	1391.6	0.0	428.6	2.2	696.2	654.6	1976.0	0.0	9614.8	258.0	874.2	0.0	4062.8	0.0	51.6	9465.2	0.0	31.4	56.0	1452.6	0.0	0.0	0.0	0.0	573.2	0.0	1275.4	0.0	0.0	0.0	0.0	0.0	0.0	71.8	44.4	0.0	16.0	48.0	0.0	13.0	1334.0	32.8	37.6	5729.8	90.0	101.0	0.0	69.0	4.6	22.4	0.0	32.2	20906.8	0.0	0.0	695.8	489.6	10.4	1.0	6080.2	2.8	5437.8	0.0	0.0	0.0	0.0	145.4	0.0	0.0	0.0	36.2	0.0	0.0	0.0	14.8	17.0	0.0	0.0	6839.6	16.6	0.0	0.0	3787.6	1.6	22.4	0.0	7119.8	0.0	0.0	28.0	35012.2	2062.8	0.0	136.480548085	
6	12551.9166667	0.666666666667	990.333333333	11865.0833333	11908.6666667	369.416666667	52.25	24.0	232.0	0.166666666667	4.41666666667	107087.666667	175296.0	291.75	69016.75	13500.9166667	1.0	0.0	24.6666666667	545084416.0	20300.4166667	12354.3333333	113	13560	13786	11752	369.6	0.2	0.0	2.2	0.0	0.0	0.0	12.2	0.8	18.0	0.0	324.2	0.0	21.0	33.6	0.8	0.0	0.0	0.0	0.0	100.4	0.0	0.0	0.0	207.4	1.6	0.0	0.0	0.0	20.2	0.0	48.6	0.0	0.8	0.0	0.0	0.0	28.0	0.0	0.0	0.0	0.0	3.2	47.2	0.0	97.4	0.0	0.8	1.6	0.0	8.8	0.0	2.8	1.4	12.0	0.0	7.2	285.8	0.0	4.8	0.0	12.0	0.0	0.0	4.8	0.0	26.4	4.0	0.8	1271.4	0.0	16.8	0.0	0.0	0.0	0.0	1.6	0.0	0.0	6.4	14.4	0.0	0.0	304.6	4.0	0.0	2.4	96.6	0.0	8.0	0.0	66.2	0.0	0.0	0.0	89.8	246.6	3.2	231.733070343	
7	3603.36363636	12.4545454545	828.454545455	37234.2727273	2727.63636364	197.909090909	0.0	0.0	145.636363636	0.363636363636	13.1818181818	81321.5454545	117175.454545	321.545454545	32193.0909091	0.0	70.1818181818	0.0	23.0909090909	545087488.0	18994.5454545	2925.54545455	194	14356	12610	11834	51.0	0.0	1.0	0.0	4.0	28.8	0.0	140.0	0.0	7540.0	10987.4	3809.8	4.0	15575.4	328.4	46.8	4.0	351.8	0.0	111.6	46991.0	0.0	13.6	108.0	272.8	0.0	4.0	0.0	0.0	9.2	0.0	197.2	2.0	0.0	0.0	0.0	0.0	0.0	122.6	116.6	0.0	714.6	6.0	0.0	2.0	153.0	0.0	8.2	2191.2	106.0	63.8	0.0	3040.2	4.0	22.0	0.0	21.2	3489.0	0.0	0.0	14.4	7350.0	12.4	1.0	37641.2	2.0	449.8	0.0	0.0	0.0	0.0	71.4	0.0	0.0	5.0	1.0	2.0	0.0	0.0	16.0	4.0	0.0	0.0	5548.4	25.0	0.0	0.0	150.2	1.4	22.0	0.0	3631.2	0.0	0.0	5.0	14249.8	777.4	0.0	178.042880074	
8	930.272727273	18.1818181818	577.909090909	38024.5454545	265.363636364	71.7272727273	0.0	0.0	99.8181818182	0.545454545455	0.0909090909091	43447.7272727	64339.3636364	272.181818182	15413.1818182	0.0	0.363636363636	0.0	15.4545454545	506806272.0	15076.0	337.090909091	183	16104	16287	17934	29.8	0.0	0.0	0.0	0.0	25.2	0.0	39.2	1.0	1101.0	1864.0	484.6	0.0	750.6	143.0	28.8	0.0	382.2	0.0	84.0	7298.0	0.0	0.6	1.8	99.2	0.0	0.0	0.0	0.0	43.4	0.0	299.4	0.0	0.0	0.0	0.0	0.0	0.0	3.6	1.4	0.0	7.0	7.8	0.0	0.8	69.6	3.2	4.0	787.2	574.0	42.4	0.0	13.2	6.4	10.2	0.0	15.0	1671.8	0.0	0.0	12.6	1013.4	1.8	1.4	117.6	1.0	127.4	0.0	0.0	0.0	0.0	45.6	0.0	0.0	0.0	5.0	14.0	0.0	0.0	6.6	1.0	0.0	0.0	772.8	14.8	0.0	0.0	138.6	1.8	10.2	0.0	4008.0	0.0	0.0	0.8	3463.2	1221.2	0.0	156.578719998	
9	1771.08333333	275.25	639.666666667	13327.75	1420.58333333	241.25	89.0833333333	6.08333333333	635.5	0.75	7.08333333333	56842.75	97238.3333333	255.333333333	59935.25	4653.91666667	73.0833333333	0.0	48.1666666667	585228629.333	33164.5833333	1757.0	68	7548	6596	6256	602.4	0.0	1.0	0.0	7.0	673.2	0.0	377.6	4.0	1376.6	1257.2	2113.6	4.0	12997.0	573.8	482.6	4.0	317.2	0.0	57.6	9260.2	0.0	22.2	77.2	1094.8	2.0	4.0	0.0	0.0	637.4	0.0	864.8	2.0	1.0	0.0	0.0	0.0	7.0	136.8	61.2	0.0	34.4	117.6	29.0	35.4	976.2	31.6	89.6	7073.4	3392.4	282.4	0.0	210.0	25.0	76.4	0.0	69.0	28487.0	0.0	1.0	336.6	999.2	29.8	7.0	5949.2	2.2	3023.2	1.0	1.0	1.0	0.0	224.8	0.0	0.0	4.0	92.6	36.0	0.0	0.0	67.8	17.4	0.0	0.0	3063.0	127.4	0.0	0.0	2787.0	0.2	75.4	0.0	5341.8	0.0	0.0	38.4	45599.8	1523.0	0.0	78.5123143603	
10	3877.33333333	0.75	1114.0	40573.3333333	2905.08333333	337.833333333	0.0	1.41666666667	93.8333333333	0.833333333333	0.333333333333	122385.0	175326.833333	313.583333333	22489.6666667	528.583333333	1.66666666667	0.0	15.75	528420522.667	16551.8333333	3244.33333333	212	29680	20988	14204	109.0	0.0	2.0	0.0	1.0	2.0	0.0	31.0	1.0	8124.8	16002.4	218945.0	0.0	2997.0	183.6	3.0	0.0	3108.8	0.0	136.2	87857.0	0.0	1.0	1.0	403.8	0.0	0.0	0.0	0.0	11.4	0.0	239.6	0.0	0.0	1.0	0.0	1.0	21.0	5.0	3.0	0.0	8.0	3.0	12.0	5.4	216.8	0.0	1.0	1193.6	1.0	51.8	0.0	948.2	10.8	23.8	0.0	25.0	6602.0	0.0	3.0	0.0	7434.4	2.0	0.0	3615.2	2.0	18.0	3.0	0.0	3.0	0.0	60.4	0.0	0.0	0.0	2.0	8.0	0.0	0.0	1077.6	13.0	0.0	0.0	6810.0	12.8	0.0	3.0	629.6	0.8	20.8	0.0	4418.6	0.0	0.0	0.0	34222.2	731.0	2.0	204.347338996	
11	2347.33333333	0.5	1058.66666667	24857.4166667	455.583333333	132.583333333	38.9166666667	6.91666666667	159.5	0.5	0.916666666667	80791.0	162704.916667	328.666666667	18800.0833333	4995.5	5.41666666667	0.0	19.75	507985920.0	14166.5833333	634.0	127	8636	8128	7747	238.8	0.2	0.0	0.0	0.0	727.6	0.0	1846.4	2.6	1077.2	1035.0	1542.4	0.0	2978.4	446.6	107.6	0.0	328.4	0.0	65.0	8850.8	0.0	65.8	69.0	1016.4	3.6	0.0	0.0	0.0	365.8	0.0	1166.0	0.0	1.6	0.0	0.0	0.0	11.2	67.8	134.8	0.0	12.2	7.0	30.4	0.0	860.8	0.0	4.0	2281.6	69.0	104.2	0.0	11.8	2.0	39.8	0.0	26.2	7328.8	0.0	1.6	363.8	649.2	6.6	1.0	4764.8	3.6	2732.6	1.6	1.6	2.0	0.0	202.6	0.0	0.0	0.0	0.0	4.0	0.0	0.0	37.4	0.0	0.0	0.0	1085.6	35.8	0.0	0.0	2352.2	0.4	38.2	0.0	7536.6	0.0	0.0	69.0	11212.4	1830.0	0.0	128.290572234	
12	8732.16666667	1.58333333333	3848.91666667	32200.9166667	5933.25	1142.91666667	38.75	6.33333333333	195.833333333	7.33333333333	1.75	468927.5	868953.166667	474.416666667	54480.6666667	4992.83333333	15.6666666667	0.0	32.75	625239722.667	36065.9166667	7121.25	210	16590	15540	12180	311.0	0.0	0.8	0.0	5.2	758.4	0.0	4780.8	4.8	45863.6	29618.4	8530.8	3.6	8704.4	30674.4	109.6	3.6	15191.4	0.0	68.0	129443.8	0.0	74.8	79.8	1104.0	3.4	3.6	0.0	0.0	395.8	0.0	1093.0	0.8	1.4	0.0	0.0	0.0	19.8	79.6	153.8	0.0	15.0	12.8	26.6	0.0	952.4	0.0	12.8	1561.6	78.2	95.4	0.0	19532.2	3.6	61.0	0.0	20.2	6560.6	0.0	1.4	379.2	15210.6	7.4	1.0	378475.2	20.0	2862.0	1.4	1.4	2.0	0.0	336.4	0.0	0.0	0.0	4.8	5.6	0.0	0.0	57.8	7.2	0.0	0.0	4294.0	54.0	0.0	0.8	2559.6	1.0	59.6	0.0	76284.2	0.0	0.0	79.8	42563.0	3182.2	0.0	316.112718478	
13	1265.18181818	8.0	629.454545455	51198.9090909	394.272727273	67.2727272727	0.0	0.0	133.181818182	0.363636363636	0.0	46081.7272727	66503.2727273	373.454545455	29216.0	0.0	40.8181818182	0.0	18.9090909091	513244439.273	16566.7272727	461.545454545	250	34000	29500	21250	59.0	0.0	6.0	0.0	3.0	14.0	0.0	267.8	0.0	615.4	582.6	416.4	2.0	1508.4	262.2	39.0	2.0	256.6	0.0	154.0	3011.2	0.0	48.0	0.0	257.2	0.0	2.0	0.0	0.0	29.0	0.0	180.4	1.0	0.0	0.0	0.0	0.0	0.0	14.0	61.0	0.0	14.0	28.0	0.0	0.0	155.2	24.0	23.0	2065.8	24.0	76.8	0.0	12.6	6.0	29.2	0.0	25.0	3290.6	0.0	0.0	7.0	404.0	3.4	1.0	178.8	2.0	102.0	0.0	0.0	0.0	0.0	62.0	0.0	0.0	0.0	23.0	24.0	0.0	0.0	26.2	3.0	0.0	0.0	472.6	39.2	0.0	0.0	187.0	1.2	29.2	0.0	1281.4	0.0	16.2	25.0	6454.6	440.0	0.0	204.248809422	
14	2290.0	1.91666666667	575.833333333	19892.0833333	1834.25	221.333333333	0.0	0.0	144.166666667	0.333333333333	9.5	55238.8333333	72201.6666667	228.916666667	45419.6666667	0.0	20.6666666667	0.0	24.0	563475797.333	23254.4166667	2055.58333333	98	13328	14700	15974	48.0	0.2	1.0	0.0	4.0	32.8	0.0	34.4	0.0	1425.6	3868.8	4384.4	4.0	41397.4	2628.6	47.0	4.0	174.8	0.0	90.0	38792.2	0.0	41.2	68.0	204.4	0.0	4.0	0.0	0.0	9.4	0.0	319.8	2.0	0.0	0.0	0.0	0.0	0.0	110.4	110.2	0.0	782.6	2.0	0.0	0.0	147.0	0.0	8.0	2042.2	68.0	71.8	0.0	2384.6	3.0	18.2	0.0	6.2	5604.8	0.0	0.0	16.4	1220.4	7.8	1.0	11926.8	3.6	418.2	0.0	0.0	0.0	0.0	208.8	0.0	0.0	5.0	0.0	2.0	0.0	0.0	10.0	4.0	0.0	0.0	6260.2	12.0	0.0	0.0	202.2	1.6	18.2	0.0	952.0	0.0	2.6	1.0	19390.8	1417.4	0.0	115.631798692	
15	934.75	1.25	474.5	47974.25	252.833333333	27.9166666667	0.0	0.0	87.75	0.5	0.0833333333333	39674.4166667	53092.75	286.166666667	14203.8333333	0.0	0.0	0.0	9.25	477558784.0	8455.16666667	280.75	232	14616	18328	19256	3.0	0.0	0.0	0.0	0.0	0.0	0.0	23.6	0.0	378.0	530.6	260.8	0.0	452.0	91.0	2.2	0.0	280.6	0.0	136.0	2475.8	0.0	0.0	0.0	28.8	0.0	0.0	0.0	0.0	5.8	0.0	32.4	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	4.0	3.2	0.0	0.0	12.8	0.0	1.0	326.0	0.0	41.2	0.0	6.0	1.0	5.0	0.0	10.0	954.4	0.0	0.0	0.0	318.0	0.6	0.0	2.0	1.0	7.0	0.0	0.0	0.0	0.0	43.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	411.6	5.0	0.0	0.0	25.8	1.4	5.0	0.0	1088.2	0.0	0.0	0.0	1950.4	44.8	0.0	169.535656695	
16	947.916666667	4.16666666667	567.25	13704.8333333	193.833333333	66.4166666667	0.5	1.75	47.25	0.416666666667	0.75	32746.4166667	61165.1666667	242.0	16748.8333333	1463.75	33.0833333333	0.0	18.6666666667	517771946.667	13694.25	262.5	60	2340	2400	2340	132.0	0.0	0.0	0.0	3.4	24.0	0.0	51.0	3.0	539.2	512.0	348.6	3.6	3155.8	217.8	39.0	3.6	112.2	0.0	47.0	2948.6	0.0	1.0	1.0	163.8	2.0	3.6	0.0	0.0	28.6	0.0	626.0	1.8	1.0	0.0	0.0	0.0	7.0	4.0	2.8	0.0	28.4	3.6	13.0	0.0	137.6	0.0	8.8	795.6	1.0	68.6	0.0	100.6	4.6	20.6	0.0	28.2	2553.4	0.0	1.0	12.0	374.6	7.6	0.8	411.4	2.0	231.2	1.0	1.0	1.0	0.0	19.0	0.0	0.0	3.0	0.0	2.0	0.0	0.0	12.6	3.4	0.0	0.0	497.0	15.6	0.0	0.0	154.0	1.2	19.6	0.0	3667.0	0.0	0.4	0.8	4765.8	1254.8	0.0	54.2083830633	
17	639.083333333	4.08333333333	376.916666667	20772.3333333	238.333333333	70.0833333333	0.0	0.0	47.1666666667	0.0	0.0	25236.5833333	43732.4166667	158.083333333	12821.5	0.0	1.25	0.0	15.8333333333	519459157.333	11385.6666667	308.416666667	93	15624	15810	15996	80.6	0.0	0.0	0.0	0.0	44.0	0.0	44.0	2.0	452.2	490.6	838.0	0.0	2713.4	140.8	21.6	0.0	176.2	0.0	26.0	3751.6	0.0	0.0	0.0	134.4	0.0	0.0	0.0	0.0	29.0	0.0	456.0	0.0	0.0	0.0	0.0	0.0	0.0	1.2	0.0	0.0	7.2	9.2	0.0	0.0	110.2	0.0	6.0	1891.2	0.0	46.0	0.0	29.4	2.6	13.2	0.0	20.2	5830.8	0.0	0.0	22.0	390.2	4.8	1.0	135.2	2.4	180.2	0.0	0.0	0.0	0.0	31.6	0.0	0.0	0.0	5.0	0.0	0.0	0.0	8.2	0.0	0.0	0.0	389.0	23.2	0.0	0.0	172.2	1.4	13.2	0.0	3718.4	0.0	0.0	0.0	10351.0	1066.4	0.0	86.3179200145	
18	984.583333333	1.41666666667	615.5	36523.25	210.833333333	75.25	0.0	0.0	30.75	0.666666666667	0.0	43129.4166667	69287.6666667	299.166666667	13142.6666667	0.0	22.5833333333	0.0	20.75	524385962.667	13481.0833333	286.083333333	175	31500	32550	31500	10.6	0.0	0.0	0.0	4.0	14.0	0.0	22.0	2.0	904.2	1314.0	431.6	4.0	1170.0	184.6	15.0	4.0	425.6	0.0	80.0	6529.2	0.0	0.0	0.0	97.0	0.0	4.0	0.0	0.0	10.0	0.0	495.4	2.0	0.0	0.0	0.0	0.0	0.0	1.6	1.0	0.0	17.6	2.0	0.0	0.0	41.8	0.0	1.0	1096.6	0.0	57.4	0.0	9.2	2.0	19.2	0.0	36.4	2572.0	0.0	0.0	7.0	784.0	4.8	1.0	271.4	2.0	98.6	0.0	0.0	0.0	0.0	18.6	0.0	0.0	0.0	0.0	2.0	0.0	0.0	11.8	4.0	0.0	0.0	837.0	13.8	0.0	0.0	55.8	1.0	19.2	0.0	5300.4	0.0	1.6	1.0	5100.2	1341.2	0.0	160.687283993	
19	4681.0	0.916666666667	1744.91666667	26430.8333333	0	0	0	0	45.75	3.0	0.583333333333	139820.5	298504.5	267.416666667	0.0	0.0	0	0	0	0	0	0	149	8642	11473	18923	30.2	0.0	5.0	0.0	0.0	0.0	0.0	110.0	0.0	256.0	139.6	363.2	0.0	1715.2	157.4	0.0	0.0	68.2	0.0	40.0	29299.8	0.0	20.0	0.0	125.2	0.4	0.0	0.0	0.0	4.6	0.0	343.2	0.0	0.0	0.0	0.0	0.0	0.0	7.0	25.0	0.0	12.0	0.2	0.0	0.0	55.8	10.0	0.0	2045.8	10.0	60.8	0.0	82.2	2.4	17.2	0.0	33.0	4033.8	0.0	0.0	0.0	123.6	3.0	0.0	16.8	8.0	16.4	0.0	0.0	0.0	0.0	679.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.4	0.0	0.0	0.0	168.8	15.2	0.0	0.0	19.6	1.0	17.2	0.0	21862.2	0.0	5.8	10.0	6557.6	462.6	0.0	180.438566683	
20	461.5	1.33333333333	299.833333333	16317.4166667	177.583333333	49.5	0.0	0.0	68.25	0.25	1.16666666667	23007.1666667	35635.4166667	146.666666667	17911.5833333	141.666666667	7.5	0.0	13.8333333333	491242837.333	8452.41666667	227.083333333	70	12530	12530	12530	58.4	0.0	0.2	0.0	1.2	198.0	0.0	1242.6	1.0	11467.4	7514.2	2115.0	0.8	2156.2	7669.2	23.0	0.8	3790.2	0.0	17.0	32501.4	0.0	20.2	21.4	279.6	0.6	0.8	0.0	0.0	102.2	0.0	277.0	0.2	0.2	0.0	0.0	0.0	3.4	21.2	41.4	0.0	3.4	3.0	3.8	0.0	236.0	0.0	3.0	380.6	21.0	24.0	0.0	5244.6	0.8	15.0	0.0	5.0	1501.0	0.0	0.2	99.0	3800.0	1.4	0.2	95836.2	5.2	739.2	0.2	0.2	0.4	0.0	87.6	0.0	0.0	0.0	1.2	1.2	0.0	0.0	14.2	1.6	0.0	0.0	1165.2	13.2	0.0	0.2	663.0	0.4	14.8	0.0	19144.6	0.0	0.0	21.4	10937.0	763.6	0.0	64.9125881159	
21	3064.33333333	33.4166666667	1223.16666667	46512.9166667	1749.5	169.416666667	0.0	0.0	91.0	1.83333333333	0.5	87494.0833333	156140.083333	413.583333333	28589.4166667	0.0	14.9166666667	0.0	15.4166666667	494682453.333	9841.33333333	1918.91666667	239	8843	12428	13623	62.8	0.0	0.0	0.0	1.8	42.8	0.0	536.4	0.0	3455.6	5465.8	1722.2	1.2	4768.0	293.0	35.4	1.2	2019.2	0.0	110.6	27476.4	0.0	3.8	26.8	201.2	0.0	1.2	0.0	0.0	44.2	0.0	257.8	0.6	0.0	0.0	0.0	0.0	0.0	15.0	26.4	0.0	22.8	24.0	0.0	21.8	104.4	0.0	17.6	3320.6	35.6	120.0	0.0	76.2	2.6	37.8	0.0	39.4	10195.8	0.0	0.0	21.4	3264.0	5.2	1.0	369.8	3.8	289.6	0.0	0.0	0.0	0.0	72.2	0.0	0.0	0.0	17.6	1.2	0.0	0.0	34.6	1.8	0.0	0.0	2583.2	47.2	0.0	0.0	349.8	1.0	37.8	0.0	8611.6	0.0	3.6	22.6	16501.0	460.2	0.0	200.389716413	
