id	user	nice	system	idle	cpu_jiffy_user	cpu_jiffy_kernel	cpu_jiffy_user_childs	cpu_jiffy_kernel_childs	iowait	irq	softirq	tot_intrpt	cntx	tot_process	minor_fault	minor_fault_childs	major_fault	major_fault_childs	no_threads	virtual_mem_size	resident_mem_size	total_cpu	duration	R*duration	G*duration	B*duration	lseek	rt_sigtimedwait	uname	kill	epoll_create	umask	send	writev	fchmod	getpid	epoll_wait	read	getgid32	cacheflush	gettid	fsync	geteuid32	recvfrom	sched_get_priority_max	sendto	clock_gettime	inotify_init	connect	getsockname	close	flock	getegid32	rt_sigprocmask	inotify_add_watch	access	sigaltstack	munmap	socketpair	setpgid	getcwd	symlink	getpeername	sigaction	setsockopt	socket	sendmsg	epoll_ctl	chmod	brk	poll	open	select	unlink	sigprocmask	getsockopt	getpriority	recv	nanosleep	mkdir	set_tls	rmdir	dup	mprotect	listen	fork	fchown32	getuid32	sched_yield	statfs64	gettimeofday	mremap	fcntl64	execve	msync	wait4	chdir	madvise	getrusage	sched_setscheduler	ftruncate	rename	getdents64	accept	readv	prctl	pipe	sched_getparam	rt_sigreturn	write	setpriority	recvmsg	getrlimit	stat	restart_syscall	clone	sched_getscheduler	ioctl	readlink	clock_nanosleep	pwrite	bind	futex	mmap2	utimes	energy
24	3509.3	0.7	1080.3	38095.6	1678.8	330.4	0.0	1.1	341.8	0.2	7.3	111850.7	168056.0	543.8	37301.4	181.9	2.0	0.0	31.6	617787801.6	24219.5	2010.3	200	38000	38000	38400	8993.6	0.0	8.9	0.0	2.0	0.0	0.0	71.8	0.0	7298.3	7686.2	14961.6	14.0	7396.8	123.1	81.0	14.0	1068.4	0.0	425.9	31269.9	0.0	143.0	81.4	1009.5	0.0	14.0	0.0	0.0	32.9	2.0	202.3	4.0	0.0	1.0	1.0	23.6	42.0	173.6	170.8	4841.7	9.7	6.2	83.6	496.4	843.3	1.8	44.0	3551.8	26.7	35.7	0.0	10.6	12.2	38.9	0.0	15.2	4128.8	0.0	2.0	0.0	349.1	1.8	0.0	181585.4	1.0	5284.0	2.0	0.0	1.0	1.1	103.7	3.1	0.0	14.0	6.0	12.0	0.0	0.0	4.4	10.0	0.0	0.0	10712.7	4.4	3595.0	6.0	2470.7	1.2	36.9	0.0	2224.9	0.0	0.0	0.0	1.8	92960.6	569.4	30.0	225.556724646
25	3525.54545455	0.636363636364	1096.63636364	38076.1818182	1673.36363636	338.727272727	0.0	1.27272727273	321.727272727	0.363636363636	6.45454545455	118729.818182	168723.545455	543.272727273	37030.7272727	182.727272727	2.0	0.0	31.3636363636	617724462.545	24222.0909091	2013.36363636	200	38400	38400	39000	8563.3	0.0	8.7	0.0	2.0	0.0	0.0	72.1	0.0	6938.2	7208.9	14187.4	14.0	7326.2	121.0	80.3	14.0	1025.9	0.0	418.5	32895.3	0.0	129.2	76.0	992.8	0.0	14.0	0.0	0.0	32.2	2.0	202.9	4.0	0.0	1.0	1.0	24.2	42.0	159.8	156.7	4505.7	9.6	6.0	81.8	498.2	835.6	1.4	42.6	3485.2	26.2	36.2	0.0	10.1	12.0	38.7	0.0	15.5	4092.7	0.0	2.0	0.0	351.0	2.3	0.0	198397.9	1.1	4895.9	2.0	0.0	1.0	1.0	114.2	3.0	0.0	13.6	6.0	12.0	0.0	0.0	4.2	10.0	0.0	0.0	10298.8	4.2	3217.1	6.0	2381.5	1.4	36.7	0.0	2411.5	0.0	0.0	0.0	1.4	100945.3	565.3	30.0	224.823947445
26	3402.2	0.7	1082.2	38189.9	1668.1	339.1	0.1	1.4	343.3	0.4	5.9	104888.9	167269.5	543.3	36251.4	182.4	2.0	0.0	31.5	617589145.6	24219.2	2008.7	200	38000	38000	38400	8921.5	0.0	9.0	0.0	2.0	0.0	0.0	75.0	0.0	7166.8	7616.5	14899.4	14.0	7417.7	130.8	81.0	14.0	1057.9	0.0	418.2	31273.4	0.0	143.2	73.1	1018.4	0.0	14.0	0.0	0.0	33.4	2.0	207.8	4.0	0.0	1.0	1.0	22.8	42.0	173.4	170.9	4836.3	12.0	6.2	84.5	507.4	852.3	2.0	44.0	3546.6	26.7	37.8	0.0	11.5	12.5	39.4	0.0	16.1	4196.9	0.0	2.0	0.0	354.4	2.3	0.1	182070.9	1.0	5266.0	2.0	0.0	1.0	1.1	85.8	3.1	0.0	14.0	6.0	12.2	0.0	0.0	5.2	10.0	0.0	0.0	10800.0	5.3	3370.2	6.0	2459.2	1.0	37.4	0.0	2245.4	0.0	0.0	0.0	2.0	93475.7	589.0	30.0	224.526011834
27	3578.2	0.7	1086.2	38056.8	1688.1	328.1	0.0	1.3	307.1	0.4	5.3	116060.6	169825.8	542.9	37015.8	181.8	2.0	0.0	31.7	619334041.6	24673.1	2017.5	200	38600	38600	39000	8622.2	0.0	8.0	0.0	1.8	0.0	0.0	72.3	0.0	6478.3	6911.1	14257.7	12.6	6708.2	113.2	72.9	12.6	961.4	0.0	381.8	28193.8	0.0	128.5	72.3	917.6	0.0	12.6	0.0	0.0	30.0	1.8	181.9	3.6	0.0	0.9	0.9	20.0	37.8	155.7	152.9	4358.8	8.7	5.6	76.5	450.6	806.9	1.6	39.6	3323.1	23.4	33.5	0.0	11.7	11.3	35.4	0.0	14.1	3900.5	0.0	1.8	0.0	316.1	2.4	0.1	163526.0	0.9	4748.8	1.8	0.0	0.9	1.0	78.7	2.8	0.0	12.6	5.4	11.0	0.0	0.0	4.4	9.0	0.0	0.0	9877.6	4.4	3147.4	5.4	2317.8	1.0	33.6	0.0	2041.5	0.0	0.0	0.0	1.6	83808.8	542.7	32.4	224.301151712
28	3480.8	0.6	1100.1	38138.8	1670.6	346.5	0.0	1.2	309.8	0.6	5.5	106722.0	169020.0	542.9	37445.3	181.1	2.0	0.0	31.8	619557273.6	24715.1	2018.3	200	38600	38600	39000	9632.8	0.0	9.0	0.0	2.0	0.0	0.0	76.6	0.0	7285.4	7556.6	15880.0	14.0	7442.1	119.3	81.8	14.0	1058.2	0.0	427.9	31089.6	0.0	143.7	78.8	1021.2	0.0	14.0	0.0	0.0	32.7	2.0	202.1	4.0	0.0	1.0	1.0	23.8	42.0	174.1	172.3	4840.3	9.4	6.0	84.3	509.8	896.0	2.0	44.6	3690.3	27.6	36.3	0.0	11.0	12.0	38.7	0.0	14.9	4279.7	0.0	2.0	0.0	346.5	2.0	0.0	184262.3	1.0	5328.7	2.0	0.0	1.0	1.0	81.1	3.0	0.0	14.0	6.0	12.0	0.0	0.0	4.2	10.0	0.0	0.0	10572.6	4.2	3392.0	6.0	2607.0	1.4	36.7	0.0	2230.8	0.0	0.0	0.0	2.0	92957.7	596.4	36.0	224.793404629
29	3612.6	1.0	1074.2	37964.4	1783.7	332.5	0.0	1.1	370.7	0.7	6.4	104794.1	166628.3	542.1	38813.7	182.0	2.0	0.0	31.4	626987417.6	25762.4	2117.3	200	38600	38800	39200	9588.9	0.1	9.0	0.0	2.0	0.0	0.0	77.5	0.0	7226.3	7620.7	15884.2	14.0	7420.2	121.4	81.0	14.0	1064.9	0.0	425.6	31142.2	0.0	143.2	80.3	1061.2	0.0	14.0	0.0	0.0	33.1	2.0	173.2	4.0	0.0	1.0	1.0	22.6	42.0	172.9	170.5	4899.7	9.3	6.2	92.4	513.4	911.5	2.0	44.2	3718.9	26.3	35.5	0.0	12.2	12.2	39.0	0.0	32.2	4220.7	0.0	2.0	0.0	348.8	2.2	0.1	184394.6	1.0	5294.9	2.0	0.0	1.0	1.1	98.1	3.1	0.0	14.0	6.0	12.2	0.0	0.0	4.7	10.0	0.0	0.0	12338.0	4.7	3194.2	6.0	2592.4	1.2	37.0	0.0	2221.8	0.0	0.0	0.0	2.0	93387.4	582.6	36.0	226.417803355
30	3594.5	0.8	1087.3	38020.7	1676.6	330.6	0.0	1.2	324.2	0.3	6.8	123518.1	169325.6	543.4	37024.3	181.7	2.0	0.0	31.6	618214604.8	24512.8	2008.4	200	38400	38400	39000	7657.5	0.0	7.0	0.0	1.6	0.0	0.0	66.5	0.0	5733.1	6047.3	12645.3	11.2	5995.9	104.5	64.8	11.2	844.4	0.0	341.1	24874.3	0.0	114.2	65.5	816.7	0.0	11.2	0.0	0.0	27.5	1.6	121.5	3.2	0.0	0.8	0.8	18.4	33.6	138.8	136.1	3873.9	7.9	5.2	74.2	386.4	718.0	1.2	35.2	2956.4	20.9	31.3	0.0	6.8	10.6	31.8	0.0	13.0	3442.4	0.0	1.6	0.0	283.5	1.3	0.2	147309.4	0.8	4223.7	1.6	0.0	0.8	1.0	69.5	2.6	0.0	11.2	4.8	10.0	0.0	0.0	4.3	8.0	0.0	0.0	8647.9	4.3	2677.2	4.8	2065.1	0.9	30.2	0.0	1810.5	0.0	0.0	0.0	1.2	74125.8	451.8	28.8	227.228907253
31	3519.8	1.2	1087.8	38121.6	1685.1	323.5	0.0	1.1	286.9	0.7	5.7	113907.1	166528.6	543.0	37439.3	181.7	2.0	0.0	31.5	618128588.8	24510.1	2009.7	200	39000	39000	39400	9585.7	0.0	9.0	0.0	2.0	0.0	0.0	76.2	0.0	7388.4	7562.3	15791.6	14.0	7454.0	125.5	81.0	14.0	1074.5	0.0	416.8	31089.0	0.0	143.6	62.6	1018.5	0.0	14.0	0.0	0.0	32.2	2.0	147.6	4.0	0.0	1.0	1.0	24.2	42.0	175.2	172.2	4825.1	9.6	6.0	92.5	501.6	892.8	2.0	44.6	3690.9	27.6	35.9	0.0	9.8	12.0	39.3	0.0	15.0	4294.1	0.0	2.0	0.0	354.6	2.0	0.0	183977.7	1.0	5309.4	2.0	0.0	1.0	1.0	86.0	3.0	0.0	14.0	6.0	12.0	0.0	0.0	4.8	10.0	0.0	0.0	10698.3	4.8	3356.2	6.0	2598.2	1.5	37.3	0.0	2208.4	0.0	0.7	0.0	2.0	92709.9	546.1	36.0	225.124432715
32	3501.5	1.2	1088.0	38085.8	1674.9	331.6	0.3	0.8	342.6	0.8	7.5	109040.4	168002.9	545.2	36822.4	182.2	2.0	0.0	31.3	617802137.6	24523.2	2007.6	200	38000	38000	38400	8641.2	0.0	8.0	0.0	1.8	0.0	0.0	69.1	0.0	6665.1	6725.9	14235.1	12.6	6671.7	109.8	72.9	12.6	954.5	0.0	375.2	28015.7	0.0	129.0	59.1	914.1	0.0	12.6	0.0	0.0	30.3	1.8	132.1	3.6	0.0	0.9	0.9	22.2	37.8	158.4	154.9	4345.7	9.1	5.8	83.3	455.3	801.7	1.6	40.2	3317.5	24.9	32.5	0.0	9.1	11.5	35.7	0.0	13.0	3818.4	0.0	1.8	0.0	316.5	1.8	0.1	166252.6	0.9	4774.3	1.8	0.0	0.9	1.1	88.6	2.9	0.0	12.6	5.4	11.2	0.0	0.0	4.4	9.0	0.0	0.0	9270.0	4.5	2845.6	5.4	2333.9	1.0	33.9	0.0	1961.5	0.0	1.4	0.0	1.6	83721.4	489.2	32.4	226.041904288
33	3503.9	1.1	1076.2	38131.0	1662.6	334.7	0.3	1.0	309.7	0.3	5.3	111361.0	166955.4	542.2	37036.8	181.7	2.0	0.0	31.3	617497395.2	24459.4	1998.6	200	38000	38000	38400	9618.2	0.0	9.0	0.0	2.0	0.0	0.0	76.3	0.0	7224.6	7557.2	15867.4	14.0	7457.5	122.9	81.0	14.0	1093.8	0.0	432.1	31111.9	0.0	143.3	88.6	1015.2	0.0	14.0	0.0	0.0	33.1	2.0	146.2	4.0	0.0	1.0	1.0	22.8	42.0	172.7	170.7	4847.5	10.0	6.2	92.8	506.8	891.9	2.0	44.0	3708.0	26.4	35.4	0.0	9.5	12.5	39.2	0.0	15.0	4306.2	0.0	2.0	0.0	350.9	1.9	0.1	184551.2	1.0	5294.9	2.0	0.0	1.0	1.1	84.4	3.1	0.0	14.0	6.0	12.2	0.0	0.0	4.8	10.0	0.0	0.0	10704.6	4.8	3196.8	6.0	2590.6	1.1	37.2	0.0	2257.9	0.0	0.0	0.0	2.0	93059.3	547.8	36.0	225.815901646
